Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (16439666),Giannis Antetokounmpo,16439666,PF/C/F/UTIL,10800,OKC@MIL 02/19/2021 08:00PM ET,MIL,56.46
PF/C,Zion Williamson (16439863),Zion Williamson,16439863,PF/C/F/UTIL,8400,PHO@NO 02/19/2021 08:00PM ET,NO,40.9
PG/SG,Shai Gilgeous-Alexander (16439844),Shai Gilgeous-Alexander,16439844,PG/SG/G/UTIL,8200,OKC@MIL 02/19/2021 08:00PM ET,OKC,41.67
SG,Devin Booker (16439738),Devin Booker,16439738,SG/G/UTIL,8100,PHO@NO 02/19/2021 08:00PM ET,PHO,37.27
SF/PF,Brandon Ingram (16439760),Brandon Ingram,16439760,SF/PF/F/UTIL,8000,PHO@NO 02/19/2021 08:00PM ET,NO,40.88
PG,Chris Paul (16439572),Chris Paul,16439572,PG/G/UTIL,7700,PHO@NO 02/19/2021 08:00PM ET,PHO,38.31
SG/SF,Khris Middleton (16439617),Khris Middleton,16439617,SG/SF/F/G/UTIL,7600,OKC@MIL 02/19/2021 08:00PM ET,MIL,38.63
SF/PF,Jerami Grant (16439662),Jerami Grant,16439662,SF/PF/F/UTIL,7500,DET@MEM 02/19/2021 08:00PM ET,DET,39.3
PG,Ja Morant (16439834),Ja Morant,16439834,PG/G/UTIL,7400,DET@MEM 02/19/2021 08:00PM ET,MEM,36.77
C,Jonas Valanciunas (16439641),Jonas Valanciunas,16439641,C/UTIL,7100,DET@MEM 02/19/2021 08:00PM ET,MEM,36.2
PG,Jrue Holiday (16439599),Jrue Holiday,16439599,PG/G/UTIL,6900,OKC@MIL 02/19/2021 08:00PM ET,MIL,35.65
C,Mason Plumlee (16439615),Mason Plumlee,16439615,C/UTIL,6800,DET@MEM 02/19/2021 08:00PM ET,DET,28.98
C,Al Horford (16439582),Al Horford,16439582,C/UTIL,6700,OKC@MIL 02/19/2021 08:00PM ET,OKC,32.86
C,Deandre Ayton (16439832),Deandre Ayton,16439832,C/UTIL,6700,PHO@NO 02/19/2021 08:00PM ET,PHO,34.37
PF/C,Jaren Jackson Jr. (16439855),Jaren Jackson Jr.,16439855,PF/C/F/UTIL,6500,DET@MEM 02/19/2021 08:00PM ET,MEM,0
SF/PF,Kyle Anderson (16439655),Kyle Anderson,16439655,SF/PF/F/UTIL,6400,DET@MEM 02/19/2021 08:00PM ET,MEM,31.31
PG,Lonzo Ball (16439801),Lonzo Ball,16439801,PG/G/UTIL,6300,PHO@NO 02/19/2021 08:00PM ET,NO,30.34
PG,Delon Wright (16439673),Delon Wright,16439673,PG/G/UTIL,6100,DET@MEM 02/19/2021 08:00PM ET,DET,27.45
SG/SF,Hamidou Diallo (16439819),Hamidou Diallo,16439819,SG/SF/F/G/UTIL,6100,OKC@MIL 02/19/2021 08:00PM ET,OKC,25.42
SF,Mikal Bridges (16439741),Mikal Bridges,16439741,SF/F/UTIL,6000,PHO@NO 02/19/2021 08:00PM ET,PHO,27.83
